"Image type","Feature Class","Feature Name","Segmentation_segment_Segment_1"
"diagnostics","Versions","PyRadiomics","v3.1.0.post2+g146e3bd"
"diagnostics","Versions","Numpy","1.26.4"
"diagnostics","Versions","SimpleITK","2.4.0rc2.dev213"
"diagnostics","Versions","PyWavelet","1.6.0"
"diagnostics","Versions","Python","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}}"
"diagnostics","Image-original","Hash","6f017728387865d47a327d266904a5eaa7bbf6b8"
"diagnostics","Image-original","Dimensionality","3D"
"diagnostics","Image-original","Spacing","(0.8984375, 0.8984375, 6.5000000943461)"
"diagnostics","Image-original","Size","(256, 256, 24)"
"diagnostics","Image-original","Mean","59.57305335998535"
"diagnostics","Image-original","Minimum","0.0"
"diagnostics","Image-original","Maximum","793.0"
"diagnostics","Mask-original","Hash","04703f1513664120cbbb3312fe632275ffe6ec33"
"diagnostics","Mask-original","Spacing","(0.8984375, 0.8984375, 6.5000000943461)"
"diagnostics","Mask-original","Size","(256, 256, 24)"
"diagnostics","Mask-original","BoundingBox","(144, 102, 11, 40, 55, 1)"
"diagnostics","Mask-original","VoxelNum","1717"
"diagnostics","Mask-original","VolumeNum","1"
"diagnostics","Mask-original","CenterOfMassIndex","(164.2102504368084, 127.76062900407688, 11.0)"
"diagnostics","Mask-original","CenterOfMass","(35.48034952809262, -18.064238541000606, 8.210879172070392)"
"original","firstorder","10Percentile","216.0"
"original","firstorder","90Percentile","377.0"
"original","firstorder","Energy","170944973.0"
"original","firstorder","Entropy","3.1943463633880764"
"original","firstorder","InterquartileRange","102.0"
"original","firstorder","Kurtosis","3.4928055392273185"
"original","firstorder","Maximum","419.0"
"original","firstorder","MeanAbsoluteDeviation","56.48350779097916"
"original","firstorder","Mean","308.20559114735005"
"original","firstorder","Median","332.0"
"original","firstorder","Minimum","33.0"
"original","firstorder","Range","386.0"
"original","firstorder","RobustMeanAbsoluteDeviation","42.447844314476484"
"original","firstorder","RootMeanSquared","315.53171604811075"
"original","firstorder","Skewness","-0.9666442315455469"
"original","firstorder","TotalEnergy","896902920.8255119"
"original","firstorder","Uniformity","0.13897239873016046"
"original","firstorder","Variance","4569.577417778093"
"original","glcm","Autocorrelation","149.04320674651206"
"original","glcm","ClusterProminence","2118.831000533439"
"original","glcm","ClusterShade","-117.55449093733354"
"original","glcm","ClusterTendency","25.561816180593773"
"original","glcm","Contrast","2.2761795852551376"
"original","glcm","Correlation","0.8360442695056145"
"original","glcm","DifferenceAverage","0.9650248289981135"
"original","glcm","DifferenceEntropy","1.8455989846742868"
"original","glcm","DifferenceVariance","1.3283793787190161"
"original","glcm","Id","0.6504613708035575"
"original","glcm","Idm","0.6238145421458247"
"original","glcm","Idmn","0.9916968514108715"
"original","glcm","Idn","0.9469929680931861"
"original","glcm","Imc1","-0.29840979058163597"
"original","glcm","Imc2","0.9172767202871044"
"original","glcm","InverseVariance","0.45458630370481035"
"original","glcm","JointAverage","11.967509528604026"
"original","glcm","JointEnergy","0.04582930914671315"
"original","glcm","JointEntropy","5.359863033713037"
"original","glcm","MCC","0.8676527429219614"
"original","glcm","MaximumProbability","0.14452231708762772"
"original","glcm","SumAverage","23.935019057208052"
"original","glcm","SumEntropy","4.031811630598389"
"original","glcm","SumSquares","6.95949894146223"
"original","gldm","DependenceEntropy","5.909112993357854"
"original","gldm","DependenceNonUniformity","243.5591147350029"
"original","gldm","DependenceNonUniformityNormalized","0.14185155197146354"
"original","gldm","DependenceVariance","3.8520227849294915"
"original","gldm","GrayLevelNonUniformity","238.6156086196855"
"original","gldm","GrayLevelVariance","7.413346069267244"
"original","gldm","HighGrayLevelEmphasis","147.7606290040769"
"original","gldm","LargeDependenceEmphasis","19.652300524170062"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","3203.922539312755"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","0.14950898286175296"
"original","gldm","LowGrayLevelEmphasis","0.011104139232910093"
"original","gldm","SmallDependenceEmphasis","0.18660372482326265"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","23.067539529012926"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.0037707051810742997"
"original","glrlm","GrayLevelNonUniformity","125.2841364023984"
"original","glrlm","GrayLevelNonUniformityNormalized","0.11616340192824617"
"original","glrlm","GrayLevelVariance","8.315170812322519"
"original","glrlm","HighGrayLevelRunEmphasis","140.39339228495987"
"original","glrlm","LongRunEmphasis","3.8790939235834307"
"original","glrlm","LongRunHighGrayLevelEmphasis","614.0478236153541"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.034430914335230905"
"original","glrlm","LowGrayLevelRunEmphasis","0.012994821310325401"
"original","glrlm","RunEntropy","4.763786485513182"
"original","glrlm","RunLengthNonUniformity","536.998735325198"
"original","glrlm","RunLengthNonUniformityNormalized","0.4943607481635057"
"original","glrlm","RunPercentage","0.628130460104834"
"original","glrlm","RunVariance","1.3015912194379045"
"original","glrlm","ShortRunEmphasis","0.7287689467502217"
"original","glrlm","ShortRunHighGrayLevelEmphasis","98.36333940261271"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.01065081276283742"
"original","glszm","GrayLevelNonUniformity","31.070381231671554"
"original","glszm","GrayLevelNonUniformityNormalized","0.09111548748290778"
"original","glszm","GrayLevelVariance","10.02899871862127"
"original","glszm","HighGrayLevelZoneEmphasis","116.82697947214076"
"original","glszm","LargeAreaEmphasis","515.6510263929619"
"original","glszm","LargeAreaHighGrayLevelEmphasis","98147.28152492669"
"original","glszm","LargeAreaLowGrayLevelEmphasis","2.8465467105867663"
"original","glszm","LowGrayLevelZoneEmphasis","0.021140713823576993"
"original","glszm","SizeZoneNonUniformity","109.03519061583577"
"original","glszm","SizeZoneNonUniformityNormalized","0.3197512921285507"
"original","glszm","SmallAreaEmphasis","0.5857164491873977"
"original","glszm","SmallAreaHighGrayLevelEmphasis","65.51815538970767"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.015281507054672057"
"original","glszm","ZoneEntropy","5.757594607211193"
"original","glszm","ZonePercentage","0.1986022131624927"
"original","glszm","ZoneVariance","490.29788185516117"
"original","ngtdm","Busyness","0.5568372774227854"
"original","ngtdm","Coarseness","0.007504699959620897"
"original","ngtdm","Complexity","81.90162029766294"
"original","ngtdm","Contrast","0.04162224319087662"
"original","ngtdm","Strength","1.102743545041824"
